"bpm","danceability_%","valence_%","energy_%","acousticness_%","instrumentalness_%","liveness_%","speechiness_%","id","cluster"
176,72,96,63,25,0,21,7,357,"cluster_1"
140,67,51,64,28,2,18,9,358,"cluster_1"
105,67,51,64,28,2,18,9,359,"cluster_0"
135,81,97,77,75,0,35,3,360,"cluster_3"
128,82,61,59,30,0,12,4,361,"cluster_3"
101,74,43,69,12,0,12,7,362,"cluster_0"
122,67,51,64,28,2,18,9,363,"cluster_0"
105,76,49,56,80,12,10,13,364,"cluster_2"
83,67,51,64,28,2,18,9,365,"cluster_0"
77,72,59,76,24,0,42,28,366,"cluster_0"
140,75,18,25,78,0,11,26,367,"cluster_2"
158,67,51,64,28,2,18,9,368,"cluster_1"
176,75,43,65,15,0,11,32,369,"cluster_1"
98,73,88,57,56,0,5,2,370,"cluster_3"
107,66,47,40,72,0,11,3,371,"cluster_2"
109,66,16,57,10,1,12,3,372,"cluster_0"
109,67,51,64,28,2,18,9,373,"cluster_0"
148,53,61,81,5,0,36,4,374,"cluster_1"
158,67,51,64,28,2,18,9,375,"cluster_1"
94,74,64,73,6,0,10,6,376,"cluster_0"
96,67,51,64,28,2,18,9,377,"cluster_0"
100,80,29,67,29,0,12,3,378,"cluster_0"
105,58,42,68,1,0,14,4,379,"cluster_0"
125,53,32,66,38,0,9,3,380,"cluster_0"
170,67,51,64,28,2,18,9,381,"cluster_1"
115,70,84,90,17,0,41,6,382,"cluster_3"
122,67,51,64,28,2,18,9,383,"cluster_0"
105,67,51,64,28,2,18,9,384,"cluster_0"
133,66,74,84,25,0,21,4,385,"cluster_3"
100,79,60,68,7,0,26,4,386,"cluster_0"
120,67,51,64,28,2,18,9,387,"cluster_0"
177,25,17,30,90,0,13,3,388,"cluster_2"
142,64,31,72,15,0,9,5,389,"cluster_1"
144,57,47,84,1,1,52,4,390,"cluster_1"
120,65,80,86,9,0,19,10,391,"cluster_3"
135,92,73,51,55,0,15,6,392,"cluster_3"
107,81,82,78,38,0,12,4,393,"cluster_3"
105,82,62,74,10,0,33,7,394,"cluster_3"
108,67,51,64,28,2,18,9,395,"cluster_0"
147,51,62,79,22,13,14,3,396,"cluster_1"
115,71,34,88,16,0,44,4,397,"cluster_0"
174,70,57,64,23,0,8,32,398,"cluster_1"
90,67,51,64,28,2,18,9,399,"cluster_0"
141,41,9,25,84,1,14,4,400,"cluster_2"
82,68,50,49,56,0,8,4,401,"cluster_2"
92,47,25,43,62,0,32,3,402,"cluster_2"
116,67,51,64,28,2,18,9,403,"cluster_0"
124,79,59,86,4,0,8,11,404,"cluster_3"
125,67,51,64,28,2,18,9,405,"cluster_0"
90,80,71,69,2,0,27,10,406,"cluster_0"
83,67,51,64,28,2,18,9,407,"cluster_0"
124,79,68,79,1,0,10,8,408,"cluster_3"
140,67,51,64,28,2,18,9,409,"cluster_1"
154,64,61,91,15,0,72,4,410,"cluster_1"
150,67,51,64,28,2,18,9,411,"cluster_1"
186,41,9,61,2,0,12,5,412,"cluster_1"
166,67,51,64,28,2,18,9,413,"cluster_1"
107,87,20,83,0,4,31,9,414,"cluster_0"
87,87,52,52,31,0,28,24,415,"cluster_0"
